1.157, 9.387, -1.023
1.184, 9.378, -1.098
1.200, 9.372, -1.145
1.230, 9.366, -1.240
1.247, 9.360, -1.287
1.311, 9.316, -1.346
1.350, 9.269, -1.367
1.383, 9.234, -1.382
1.453, 9.171, -1.413
1.485, 9.138, -1.434
1.525, 9.080, -1.502
1.529, 9.056, -1.546
1.555, 9.007, -1.627
1.579, 8.991, -1.668
1.605, 8.985, -1.709
1.658, 8.977, -1.793
1.705, 8.985, -1.880
1.728, 8.989, -1.925
1.767, 8.994, -2.017
1.795, 8.997, -2.112
1.806, 8.998, -2.161
1.812, 8.998, -2.211
1.814, 8.999, -2.261
1.813, 9.000, -2.311
1.808, 9.000, -2.361
1.785, 8.999, -2.458
1.751, 9.000, -2.552
1.729, 9.001, -2.597
1.703, 9.001, -2.640
1.643, 9.001, -2.706
1.552, 9.003, -2.735
1.460, 9.038, -2.751
1.418, 9.064, -2.761
1.357, 9.107, -2.779
1.393, 9.127, -2.864
1.371, 9.125, -2.955
1.295, 9.145, -3.016
1.262, 9.162, -3.050
1.229, 9.181, -3.083
1.158, 9.212, -3.145
1.115, 9.227, -3.166
1.072, 9.241, -3.188
0.995, 9.272, -3.243
0.922, 9.307, -3.301
0.864, 9.373, -3.348
0.797, 9.438, -3.382
0.757, 9.468, -3.388
0.681, 9.507, -3.345
0.648, 9.519, -3.309
0.617, 9.529, -3.271
0.569, 9.538, -3.184
0.547, 9.531, -3.087
0.531, 9.540, -2.991
0.523, 9.546, -2.888
0.521, 9.542, -2.823
0.518, 9.542, -2.773
0.529, 9.554, -2.676
0.551, 9.557, -2.631
0.635, 9.542, -2.583
0.730, 9.515, -2.575
0.779, 9.504, -2.575
0.877, 9.489, -2.571
0.927, 9.490, -2.567
0.977, 9.490, -2.561
1.075, 9.480, -2.544
1.163, 9.463, -2.502
1.243, 9.449, -2.445
1.285, 9.461, -2.420
1.365, 9.499, -2.374
1.444, 9.519, -2.319
1.494, 9.517, -2.234
1.514, 9.523, -2.137
1.519, 9.520, -2.087
1.514, 9.519, -2.037
1.480, 9.518, -1.943
1.421, 9.522, -1.863
1.350, 9.535, -1.796
1.262, 9.553, -1.753
1.170, 9.571, -1.726
1.074, 9.558, -1.749
0.976, 9.564, -1.765
0.926, 9.569, -1.771
0.829, 9.572, -1.789
0.738, 9.558, -1.828
0.691, 9.551, -1.846
0.602, 9.534, -1.886
0.561, 9.523, -1.913
0.481, 9.499, -1.967
0.435, 9.491, -1.985
0.336, 9.484, -1.993
0.286, 9.479, -1.993
0.189, 9.458, -2.003
0.095, 9.431, -2.021
0.062, 9.402, -2.045
0.025, 9.352, -2.112
0.013, 9.351, -2.161
-0.001, 9.348, -2.260
-0.009, 9.343, -2.359
-0.009, 9.341, -2.409
-0.010, 9.339, -2.459
-0.010, 9.339, -2.474
-0.016, 9.347, -2.523
-0.024, 9.359, -2.571
-0.029, 9.362, -2.669
-0.020, 9.350, -2.717
0.006, 9.352, -2.813
0.029, 9.361, -2.910
0.040, 9.368, -3.009
0.088, 9.365, -3.096
0.112, 9.363, -3.140
0.137, 9.357, -3.183
0.188, 9.367, -3.266
0.214, 9.382, -3.306
0.252, 9.370, -3.364
0.304, 9.310, -3.423
0.360, 9.263, -3.491
0.417, 9.244, -3.570
0.434, 9.232, -3.663
0.414, 9.203, -3.699
0.373, 9.140, -3.765
0.312, 9.093, -3.826
0.241, 9.050, -3.882
0.161, 8.996, -3.880
0.121, 8.974, -3.859
0.047, 8.933, -3.806
-0.016, 8.895, -3.739
-0.066, 8.825, -3.694
-0.089, 8.809, -3.600
-0.097, 8.804, -3.550
-0.107, 8.799, -3.451
-0.120, 8.795, -3.352
-0.133, 8.786, -3.253
-0.145, 8.781, -3.154
-0.149, 8.781, -3.104
-0.154, 8.779, -3.005
-0.156, 8.774, -2.955
-0.157, 8.770, -2.905
-0.159, 8.765, -2.855
-0.160, 8.763, -2.805
-0.160, 8.762, -2.755
-0.161, 8.762, -2.655
-0.164, 8.762, -2.556
-0.167, 8.761, -2.506
-0.172, 8.761, -2.456
-0.176, 8.759, -2.406
-0.181, 8.761, -2.356
-0.188, 8.774, -2.258
-0.188, 8.778, -2.208
-0.187, 8.783, -2.158
-0.186, 8.788, -2.108
-0.195, 8.793, -2.009
-0.170, 8.781, -1.945
-0.147, 8.783, -1.900
-0.094, 8.796, -1.818
-0.065, 8.803, -1.777
-0.023, 8.828, -1.691
-0.014, 8.860, -1.597
-0.002, 8.899, -1.507
0.022, 8.950, -1.473
0.054, 9.002, -1.463
0.109, 9.043, -1.476
0.142, 9.080, -1.506
0.190, 9.180, -1.600
0.200, 9.150, -1.610
0.198, 9.100, -1.705
0.183, 9.090, -1.788
0.167, 9.000, -1.832
0.143, 8.941, -1.922
0.133, 8.925, -1.969
0.121, 8.903, -2.065
0.120, 8.909, -2.164
0.122, 8.911, -2.214
0.124, 8.912, -2.264
0.129, 8.912, -2.314
0.134, 8.912, -2.364
0.147, 8.906, -2.463
0.160, 8.899, -2.561
0.166, 8.897, -2.611
0.178, 8.898, -2.710
0.189, 8.906, -2.809
0.203, 8.910, -2.908
0.213, 8.914, -3.007
0.216, 8.918, -3.057
0.222, 8.934, -3.154
0.220, 8.954, -3.200
0.215, 8.995, -3.291
0.206, 9.018, -3.335
0.166, 9.074, -3.407
0.112, 9.143, -3.453
0.082, 9.179, -3.471
0.026, 9.253, -3.508
-0.002, 9.290, -3.527
-0.068, 9.359, -3.555
-0.153, 9.407, -3.544
-0.224, 9.385, -3.492
-0.241, 9.325, -3.415
-0.247, 9.300, -3.372
-0.253, 9.277, -3.328
-0.264, 9.237, -3.237
-0.262, 9.210, -3.189
-0.262, 9.167, -3.099
-0.269, 9.153, -3.001
-0.268, 9.147, -2.951
-0.259, 9.137, -2.852
-0.255, 9.132, -2.802
-0.253, 9.130, -2.752
-0.252, 9.130, -2.702
-0.251, 9.129, -2.652
-0.254, 9.130, -2.553
-0.256, 9.133, -2.503
-0.259, 9.140, -2.453
-0.266, 9.158, -2.355
-0.272, 9.174, -2.257
-0.276, 9.180, -2.207
-0.278, 9.185, -2.157
-0.280, 9.181, -2.058
-0.271, 9.183, -1.960
-0.272, 9.194, -1.911
-0.256, 9.243, -1.827
-0.210, 9.307, -1.750
-0.186, 9.390, -1.700
-0.115, 9.433, -1.684
-0.011, 9.489, -1.781
0.044, 9.549, -1.822
0.126, 9.599, -1.808
0.172, 9.579, -1.747
0.244, 9.530, -1.700
0.319, 9.470, -1.716
0.360, 9.398, -1.770
0.354, 9.366, -1.808
0.338, 9.337, -1.846
0.335, 9.263, -1.907
0.377, 9.177, -1.929
0.434, 9.107, -1.894
0.493, 9.081, -1.817
0.537, 9.076, -1.729
0.546, 9.092, -1.631
0.562, 9.093, -1.534
0.629, 9.038, -1.492
0.668, 9.008, -1.483
0.736, 8.947, -1.446
0.763, 8.925, -1.410
0.794, 8.876, -1.329
0.784, 8.811, -1.257
0.759, 8.776, -1.231
0.699, 8.717, -1.177
0.666, 8.686, -1.135
0.636, 8.639, -1.084
0.635, 8.571, -1.026
0.662, 8.502, -0.979
0.700, 8.430, -0.940
0.731, 8.383, -0.915
0.765, 8.315, -0.891
0.796, 8.248, -0.864
0.820, 8.195, -0.831
0.838, 8.143, -0.778
0.856, 8.071, -0.712
